fips,solar_system_count_residential,population,household_count,housing_unit_count,land_area,average_household_size,daily_solar_radiation,average_household_income,housing_unit_median_value,race_white_rate,race_black_africa_rate,age_median,voting_2016_dem_percentage,employ_rate,geoid,county_name,locale,age_18_under,age_25_to_44,age_45_to_64,age_65_plus,ed_bachelor_rate,housing_density,pop_density,race_oth_rate,total_mf_own_hh,total_mf_own_suit,total_mf_rent_hh,total_mf_rent_suit,total_sf_own_hh,total_sf_own_suit,total_sf_rent_hh,total_sf_rent_suit,suit_mf_own_rate,suit_mf_rent_rate,suit_rate,suit_sf_own_rate,suit_sf_rent_rate,total_hh,high_sf_own_rate,low_sf_own_rate,mid_sf_own_rate,mod_sf_own_rate,rent_pct,sf_pct,sf_rent_pct,solar_per_capita,very_low_sf_own_rate,urban,city,rural,suburban
13121007300,0.0,7952,2711,3141,2.940608,2.93,4.29,33867.6503135,67500.0,0.0174798792757,0.958752515091,30.3,0.692273308888,0.7465813209190001,13121007300.0,Fulton County,city_large,0.177439637827,0.31514084507,0.221830985915,0.07268611670018998,0.10478547854777001,921.9181883474438,2704.202668291727,0.023767605633840002,110.0,32.4281,1344.0,126.11430000000001,853.0,611.805,392.0,270.6529,0.2948009090909091,0.09383504464285715,0.38569851796961835,0.7172391559202813,0.6904410714285714,2699.0,0.6993988095238095,0.7299221374045801,0.6835503401360544,0.7301945054945055,0.6432011856243053,0.46128195628010377,0.314859437751004,0.0,0.7347062222222221,city,1,0,0
13121007900,2.0,5801,2092,2412,3.2620970000000002,2.74,4.29,68971.749522,111800.0,0.0136183416652,0.9484571625579999,44.8,0.692273308888,0.770693906305,13121007900.0,Fulton County,city_large,0.09619031201520001,0.28460610239600004,0.248577831408,0.2492673676951,0.4368803701254,641.305270811996,1778.3039560135703,0.037924495776599995,109.0,28.9113,794.0,76.9423,946.0,689.7864,235.0,149.3599,0.26524128440366973,0.09690465994962218,0.4534548464491363,0.7291610993657505,0.6355740425531915,2084.0,0.724871221532091,0.6914819444444444,0.7447616580310881,0.7356612903225807,0.4937619961612284,0.5666986564299424,0.19898391193903472,0.0003447681434235477,0.7469860465116278,city,1,0,0
13121012300,4.0,2464,1052,1430,1.387533,2.33,4.29,87196.6730038,197000.0,0.407873376623,0.519480519481,40.1,0.692273308888,0.905100064558,13121012300.0,Fulton County,suburban_large,0.09618506493510001,0.42045454545499994,0.283279220779,0.0860389610389,0.3874614594035,758.1801658050656,1775.8136202886708,0.072646103896044,74.0,18.9519,401.0,43.2684,453.0,373.85429999999997,121.0,84.92490000000001,0.25610675675675676,0.10790124688279301,0.4966630123927549,0.825285430463576,0.7018586776859504,1049.0,0.8142908745247148,0.8439742857142858,0.8687970588235294,0.8372279069767441,0.49761677788369874,0.5471877979027645,0.21080139372822299,0.0016233766233766235,0.7972204545454545,suburban,0,0,1
13121000600,2.0,5906,2132,2835,0.559174,2.17,4.29,50404.8311445,189700.0,0.439045038943,0.278530308161,23.3,0.692273308888,0.8791728212700001,13121000600.0,Fulton County,city_large,0.02946156451073,0.29783271249550003,0.09939045038939999,0.010497798848600002,0.6125415282399,3812.766688007669,10562.007532539068,0.28242465289515,105.0,10.113900000000001,926.0,30.8857,822.0,166.3967,268.0,50.603199999999994,0.09632285714285715,0.03335388768898488,0.12164049976426215,0.20242907542579078,0.18881791044776117,2121.0,0.20511397260273975,0.19805952380952382,0.202333125,0.19465106382978722,0.562942008486563,0.5139085337105139,0.24587155963302754,0.0003386386725364037,0.20519736842105263,city,1,0,0
13121004000,0.0,2408,877,1266,0.6249747,2.75,4.29,39815.5074116,58200.0,0.006644518272430001,0.984634551495,40.5,0.692273308888,0.813588850174,13121004000.0,Fulton County,city_large,0.1495016611296,0.270764119601,0.308554817275,0.14327242524919998,0.23735632183917,1403.2568038354193,3852.955967657571,0.00872093023256,45.0,9.9616,400.0,35.785500000000006,314.0,236.9043,116.0,80.3487,0.2213688888888889,0.08946375000000001,0.4148572571428571,0.7544722929936306,0.6926612068965516,875.0,0.76621125,0.8086142857142856,0.7035191780821918,0.7494476190476191,0.5897142857142857,0.49142857142857144,0.26976744186046514,0.0,0.769169642857143,city,1,0,0
13121008902,8.0,6537,3666,4094,2.672717,1.78,4.29,70436.98854339999,214000.0,0.600734281781,0.265106317883,31.1,0.692273308888,0.9165243786759999,13121008902.0,Fulton County,city_large,0.0590484931927,0.514915098669,0.16169496711009998,0.0387027688542,0.7089392643282,1371.637925002909,2445.8257271533053,0.1341594003366,187.0,57.622,1343.0,129.4481,1672.0,1267.0985,446.0,317.83119999999997,0.30813903743315507,0.0963872673119881,0.4857455592105263,0.7578340311004785,0.7126260089686098,3648.0,0.746280694143167,0.7503191011235956,0.7596614379084967,0.7953463636363637,0.49040570175438597,0.5805921052631579,0.210576015108593,0.0012238029677221968,0.77642,city,1,0,0
13121009000,0.0,4948,1932,2069,1.217737,2.56,4.29,151584.782609,596300.0,0.84155214228,0.0602263540825,32.7,0.692273308888,0.977096416697,13121009000.0,Fulton County,city_large,0.1879547291831,0.418755052547,0.1626919967664,0.051535974130970004,0.8729246487869999,1586.5494766111237,4063.2747465175153,0.09822150363787,137.0,35.80170000000001,528.0,47.1291,1108.0,773.0267,142.0,93.04239999999999,0.2613262773722628,0.08925965909090909,0.49556130548302874,0.6976775270758123,0.6552281690140844,1915.0,0.7027181715575621,0.6461277777777777,0.6696227272727273,0.6879887323943662,0.34986945169712796,0.6527415143603134,0.1136,0.0,0.7079304347826086,city,1,0,0
13121005501,1.0,2533,960,1230,0.4605172000000001,2.64,4.29,40601.1458333,142600.0,0.168969601263,0.8077378602449999,29.8,0.692273308888,0.831198191409,13121005501.0,Fulton County,city_large,0.11133043821550001,0.35215159889400005,0.1875246742992,0.0682984603237,0.22207792207825,2084.612691990657,5500.337446679515,0.023292538491890002,60.0,14.068200000000001,463.0,47.931599999999996,299.0,202.7758,137.0,87.22440000000002,0.23447,0.10352397408207342,0.3670490093847758,0.678179933110368,0.6366744525547446,959.0,0.6833017857142857,0.7086111111111111,0.733961224489796,0.642824,0.6256517205422315,0.4546402502606882,0.31422018348623854,0.00039478878799842083,0.6404511627906977,city,1,0,0
13121004900,0.0,2891,1126,1204,0.42240740000000004,2.57,4.29,79521.2255773,216900.0,0.469733656174,0.450709097198,34.4,0.692273308888,0.860751694393,13121004900.0,Fulton County,city_large,0.1694915254237,0.420269802836,0.2210307851957,0.06329989622963,0.4904270986744,2665.6729972060148,6844.1035834126005,0.07955724662754,67.0,21.241100000000003,441.0,42.759,494.0,330.8932,116.0,79.1069,0.3170313432835821,0.09695918367346938,0.42397155635062606,0.6698242914979756,0.6819560344827585,1118.0,0.6623017006802722,0.7375636363636364,0.6482518518518519,0.6196703703703704,0.49821109123434704,0.5456171735241503,0.1901639344262295,0.0,0.7219898305084745,city,1,0,0
13001950100,0.0,3410,1188,1596,124.7046,2.85,4.52,61613.6363636,109300.0,0.970967741935,0.0196480938416,39.6,0.204769384549,0.9035202086049999,13001950100.0,Appling County,rural_distant,0.2246334310854,0.2381231671558,0.249560117302,0.15894428152490003,0.11882086167796,9.526513055653119,27.344620807893214,0.00938416422287,0.0,1.1284,37.0,7.9317,570.0,529.4338,119.0,108.5059,,0.21437027027027028,0.8911842975206612,0.9288312280701755,0.9118142857142857,726.0,0.9274232954545454,0.9353923076923076,0.9247659090909092,0.9353952380952382,0.21487603305785125,0.9490358126721763,0.17271407837445574,0.0,0.9353962962962963,rural,0,1,0
